product_name,categories_en,categories_tags,proteins_100g,sugars_100g,fat_100g,fiber_100g,energy_100g,ingredients_text,Primary_Category
Baked Crunchy Crispy Reds Apple Chips,Snacks,en:snacks,2.53,70.7,0.0,12.6,1590.0,Apples,Chips & Salty Snacks
Baked Crunchy Cinnamon Apple Chips,Snacks,en:snacks,2.5252525252525,70.707070707071,0.0,12.626262626263,1585.0,"Apples, cinnamon",Chips & Salty Snacks
Coconut chips,Snacks,en:snacks,4.17,33.33,33.33,20.8,2268.0,"Coconuts, cane sugar, sea salt",Nuts & Seeds
Organic Baked Crunchy Simply Banana Chips,Snacks,en:snacks,3.57,60.71,0.0,10.7,1644.0,Organic bananas.,Chips & Salty Snacks
Organic Baked Crunchy Cinnamon Banana Chips,Snacks,en:snacks,3.57,60.71,0.0,10.7,1644.0,Organic bananas and organic cinnamon.,Chips & Salty Snacks
Apple chips,Snacks,en:snacks,0.0,70.0,0.0,13.3,1536.0,"Apples, cinnamon",Chips & Salty Snacks
Baked Crunchy Strawberry Banana Chips,Snacks,en:snacks,3.57,60.71,0.0,10.7,1644.0,Bananas and strawberry powder.,Chips & Salty Snacks
"Banana, pineapple & strawberry chips",Snacks,en:snacks,2.94,70.59,0.0,8.8,1598.0,"Bananas, pineapples, strawberries",Chips & Salty Snacks
Bare baked crunchy sweet potato chips,"Plant-based foods and beverages,Plant-based foods,Snacks,Cereals and potatoes,Salty snacks,Appetizers,Chips and fries,Crisps,Potato crisps","en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:salty-snacks,en:appetizers,en:chips-and-fries,en:crisps,en:potato-crisps",7.5,27.5,0.0,10.0,1570.0,"Sweet Potatoes, Sea Salt, Black Pepper The Bare Facts * Baked, not fried",Bars
Beet chips,Snacks,en:snacks,10.0,37.5,0.0,20.0,1464.0,"Beets, sea salt",Chips & Salty Snacks
Baked crunchy salt & vinegar beet chips,Snacks,en:snacks,10.0,20.0,0.0,17.5,1464.0,"Beets, apple vinegar, white vinegar, sea salt",Chips & Salty Snacks
"Carrot chips, sea salt",Snacks,en:snacks,5.0,25.0,0.0,17.5,1464.0,"Carrots, sea salt",Chips & Salty Snacks
"Baked crunchy ranch carrot chips, ranch",Snacks,en:snacks,7.5,25.0,2.5,20.0,1569.0,"Carrots, cream, buttermilk, sea salt, yeast extract, onion powder, garlic powder, parsley, dill, chives, black pepper",Chips & Salty Snacks
Crunchy fuji red apple chips,Snacks,en:snacks,0.0,75.0,0.0,14.3,1343.0,Fuji apples,Chips & Salty Snacks
Crunchy cinnamon apple chips,Snacks,en:snacks,0.0,75.0,0.0,14.3,1343.0,"Apples, cinnamon",Chips & Salty Snacks
Organic Crunchy Crispy Reds Apple Chips,Snacks,en:snacks,0.0,71.428571428571,0.0,14.285714285714,1644.0,Organic apples,Chips & Salty Snacks
